emotion,distance
4, 85 94 32 82 29 47 81 25 49 53 44 37 63 72 66 82 64 99 96 109 83 81 113 90
4, 87 93 33 84 34 53 83 25 50 52 46 39 62 70 68 80 68 96 89 98 80 80 100 90
4, 86 90 33 83 30 47 80 26 48 52 44 39 62 70 66 81 64 99 94 109 82 81 113 89
4, 92 99 30 85 30 48 77 21 45 49 42 39 59 69 65 81 67 100 90 99 79 79 105 91
4, 84 95 32 82 28 46 81 25 47 53 44 38 61 71 64 84 66 99 95 109 84 83 114 90
4, 96 103 33 86 33 54 76 21 49 51 46 41 62 71 70 85 71 101 93 98 81 80 104 94
4, 87 93 36 85 32 48 84 27 51 50 47 45 62 68 70 78 64 96 91 102 80 80 105 89
4, 85 92 33 82 32 49 79 27 46 49 44 39 58 66 63 84 67 96 94 106 83 82 110 90
4, 84 100 36 81 33 49 78 29 49 53 45 41 62 72 65 84 66 101 96 110 84 83 115 91
4, 84 92 33 80 29 46 79 25 48 54 44 38 63 72 64 81 64 99 92 108 82 81 113 89
4, 89 94 32 82 33 54 78 24 46 49 44 39 59 68 64 87 71 98 93 103 83 82 106 92
4, 91 97 33 85 31 50 80 23 47 50 43 40 61 69 68 84 68 101 93 104 80 81 109 92
4, 89 102 34 83 33 48 76 28 48 50 44 40 60 69 64 82 66 105 94 110 82 82 117 94
4, 88 97 33 84 29 46 81 25 49 51 45 39 61 69 66 82 65 101 96 108 83 81 112 92
4, 85 93 33 83 29 45 80 26 48 50 44 40 60 68 65 79 62 97 91 103 80 79 107 87
